Product,State,zip3,length
Credit card or prepaid card,CT,64,813
Mortgage,GA,0,2656
Student loan,IN,463,966
Credit card or prepaid card,MI,490,520
Credit card or prepaid card,MI,480,506
Credit card or prepaid card,FL,331,948
Vehicle loan or lease,WA,980,1067
Credit card or prepaid card,CA,913,316
Mortgage,CA,926,1472
Vehicle loan or lease,VA,238,1132
Mortgage,GA,303,999
Credit card or prepaid card,AZ,852,1011
Student loan,NY,0,360
Credit card or prepaid card,TN,378,1044
Mortgage,TX,751,1708
Credit card or prepaid card,NY,107,1274
Credit card or prepaid card,MI,481,1522
Credit card or prepaid card,IL,601,1060
Credit card or prepaid card,CA,923,395
Vehicle loan or lease,CA,0,1722
Mortgage,TX,775,1534
Mortgage,CA,956,3180
Mortgage,WA,985,1039
Mortgage,FL,333,926
Student loan,IN,0,907
Credit card or prepaid card,IA,0,1085
Mortgage,CA,913,2856
Mortgage,OH,457,563
Mortgage,IL,600,799
Mortgage,TX,761,701
Credit card or prepaid card,VA,0,1350
Student loan,MA,18,359
Credit card or prepaid card,NV,890,625
Mortgage,OH,455,134
Mortgage,TX,762,1240
Mortgage,AZ,860,2173
Mortgage,MI,0,1030
Mortgage,NM,871,1264
Credit card or prepaid card,MN,563,679
Mortgage,NJ,80,2352
Credit card or prepaid card,NC,282,863
Credit card or prepaid card,UT,840,2208
Credit card or prepaid card,TX,782,186
Mortgage,NY,0,1525
Mortgage,TN,381,267
Credit card or prepaid card,MA,0,382
Student loan,AL,0,606
Student loan,AZ,852,2662
Mortgage,CA,920,2835
Credit card or prepaid card,IL,600,1631
Mortgage,CA,917,1028
Mortgage,LA,704,900
Credit card or prepaid card,MD,209,473
Student loan,AZ,852,391
Credit card or prepaid card,MO,633,2754
Credit card or prepaid card,CA,930,1609
Mortgage,AR,722,610
Mortgage,VA,230,3215
Mortgage,MD,211,2190
Mortgage,MD,0,838
Credit card or prepaid card,AZ,863,3104
Mortgage,NY,107,994
Mortgage,CA,920,868
Mortgage,PA,174,536
Credit card or prepaid card,NV,891,439
